IMDB Ratings,IMDB Score,Content Rating,Date Released,year,month,day of the week,Genres,Genre A,Genre B,Genre C,Keywords,Keyword 1,Keyword 2,Keyword 3,Stars,Star 1,Star 2,Star 3,Directors,Director 1,Director 2,Director 3,Writers,Writer 1,Writer 2,Writer 3,Runtime,Nominations,Awards,Estimated Budget,Budget Currency,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD,Name,RT_audience_score,RT_tomatometer_score,RT_audience_#reviews,RT_tomatometer_#reviews,Producer
105364,7.1,14A,2023-07-28,2023,7,4,['Horror' 'Thriller'],Horror,Thriller,none,"['disembodied hand' 'conjuring spirits'
 'singing along to music on a car radio' 'dead mother' 'spirit' 'trailer']",disembodied hand,conjuring spirits,singing along to music on a car radio,['Ari McCarthy' 'Hamish Phillips' 'Kit Erhart-Bruce'],Ari McCarthy,Hamish Phillips,Kit Erhart-Bruce,['Danny Philippou' 'Michael Philippou'],Danny Philippou,Michael Philippou,none,['Danny Philippou' 'Bill Hinzman' 'Daley Pearson'],Danny Philippou,Bill Hinzman,Daley Pearson,95,Parle-moi</span,0,unknown,unknown,unknown,unknown,unknown,Talk to Me,8.0,7.7,5257.0,285.0,"Samantha Jennings,Kristina Ceyton"
94693,6.8,PG-13,2022-11-04,2022,11,4,['Action' 'Adventure' 'Crime'],Action,Adventure,Crime,['detective' 'runaway' 'fight' 'teenager' 'teenage girl' 'trailer'],detective,runaway,fight,['Millie Bobby Brown' 'Henry Cavill' 'David Thewlis'],Millie Bobby Brown,Henry Cavill,David Thewlis,['Harry Bradbeer'],Harry Bradbeer,none,none,['Jack Thorne' 'Harry Bradbeer' 'Nancy Springer'],Jack Thorne,Harry Bradbeer,Nancy Springer,129,3,3,unknown,unknown,unknown,unknown,unknown,Enola Holmes 2,8.0,7.0,2409.0,104.0,"Mary Parent,Alex Garcia,Ali Mendes,Millie Bobby Brown,Robert Brown"
418199,7.1,PG,2022-12-23,2022,12,4,['Comedy' 'Crime' 'Drama'],Comedy,Crime,Drama,"['sequel' 'detective' 'benoit blanc character' 'twin sister'
 'private island' 'trailer']",sequel,detective,benoit blanc character,['Daniel Craig' 'Edward Norton' 'Kate Hudson'],Daniel Craig,Edward Norton,Kate Hudson,['Rian Johnson'],Rian Johnson,none,none,['Rian Johnson'],Rian Johnson,none,none,139,123,52,40000000,$,13280000,9400000,13280000,Glass Onion: A Knives Out Mystery,7.6,7.9,8512.0,423.0,"Rian Johnson,Ram Bergman"
362569,7.2,14A,2022-11-18,2022,11,4,['Comedy' 'Horror' 'Thriller'],Comedy,Horror,Thriller,"['food critic' 'blind obedience' 'perfectionist' 'obsession' 'revenge'
 'trailer']",food critic,blind obedience,perfectionist,['Ralph Fiennes' 'Anya Taylor-Joy' 'Nicholas Hoult'],Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,['Mark Mylod'],Mark Mylod,none,none,['Seth Reiss' 'Will Tracy'],Seth Reiss,Will Tracy,none,107,49,2,35000000,$,38501125,9004957,79628200,The Menu,7.6,7.5,9369.0,327.0,"Adam McKay,Betsy Koch,Will Ferrell"
233681,7.7,14A,2022-10-21,2022,10,4,['Comedy' 'Drama'],Comedy,Drama,none,"['brother sister relationship' 'friendship between men' 'year 1923'
 'island' 'loneliness' 'trailer']",brother sister relationship,friendship between men,year 1923,['Colin Farrell' 'Brendan Gleeson' 'Kerry Condon'],Colin Farrell,Brendan Gleeson,Kerry Condon,['Martin McDonagh'],Martin McDonagh,none,none,['Martin McDonagh'],Martin McDonagh,none,none,114,340,144,unknown,unknown,unknown,unknown,unknown,The Banshees of Inisherin,7.4,8.7,5620.0,365.0,"Graham Broadbent,Peter Czernin,Martin McDonagh"
190009,7.7,14A,2022-12-21,2022,12,2,['Drama'],Drama,none,none,"['gay character' 'gay' 'overweight man' 'caregiver'
 'congestive heart failure' 'trailer']",gay character,gay,overweight man,['Brendan Fraser' 'Sadie Sink' 'Ty Simpkins'],Brendan Fraser,Sadie Sink,Ty Simpkins,['Darren Aronofsky'],Darren Aronofsky,none,none,['Samuel D. Hunter'],Samuel D. Hunter,none,none,117,117,45,10000000,$,17463630,332152,54883206,The Whale,8.4,6.6,5826.0,341.0,
147035,6.5,14A,2022-09-30,2022,9,4,['Horror' 'Mystery' 'Thriller'],Horror,Mystery,Thriller,"['jump scare' 'going insane' 'evil smile' 'psychological' 'curse'
 'trailer']",jump scare,going insane,evil smile,['Sosie Bacon' 'Jessie T. Usher' 'Kyle Gallner'],Sosie Bacon,Jessie T. Usher,Kyle Gallner,['Parker Finn'],Parker Finn,none,none,['Parker Finn'],Parker Finn,none,none,115,9,2,17000000,$,105935048,22609925,217408513,Smile,7.4,6.6,8386.0,192.0,"Marty Bowen,Wyck Godfrey,Isaac Klausner,Robert Salerno"
134127,6.3,14A,2022-09-23,2022,9,4,['Drama' 'Mystery' 'Thriller'],Drama,Mystery,Thriller,['housewife' 'oral sex' 'throat slit' 'husband wife sex' 'egg' 'trailer'],housewife,oral sex,throat slit,['Florence Pugh' 'Harry Styles' 'Chris Pine'],Florence Pugh,Harry Styles,Chris Pine,['Olivia Wilde'],Olivia Wilde,none,none,['Katie Silberman' 'Carey Van Dyke' 'Shane Van Dyke'],Katie Silberman,Carey Van Dyke,Shane Van Dyke,123,17,9,20000000,$,45309403,19353213,87609403,Don't Worry Darling,7.0,5.4,10088.0,352.0,"Olivia Wilde,Katie Silberman,Miri Yoon,Roy Lee"
110367,5.6,PG,2022-09-09,2022,9,4,['Action' 'Adventure' 'Fantasy'],Action,Adventure,Fantasy,"['fantasy superhero' 'non comic book superhero' 'superhero' 'villain'
 'supervillain' 'trailer']",fantasy superhero,non comic book superhero,superhero,['Amitabh Bachchan' 'Ranbir Kapoor' 'Alia Bhatt'],Amitabh Bachchan,Ranbir Kapoor,Alia Bhatt,['Ayan Mukerji'],Ayan Mukerji,none,none,['Hussain Dalal' 'Ayan Mukerji'],Hussain Dalal,Ayan Mukerji,none,167,35,32,4100000000,₹,7839108,4543659,50164785,Brahmastra Part One: Shiva,6.8,5.7,3126.0,35.0,"Karan Johar,Apoorva Mehta,Namit Malhotra,Ranbir Kapoor,Marijke Desouza,Ayan Mukherjee"
107752,7.5,PG,2022-11-23,2022,11,2,['Drama'],Drama,none,none,"['coming of age' 'father son relationship' 'mother son relationship'
 'jewish' 'arizona' 'trailer']",coming of age,father son relationship,mother son relationship,['Michelle Williams' 'Gabriel LaBelle' 'Paul Dano'],Michelle Williams,Gabriel LaBelle,Paul Dano,['Steven Spielberg'],Steven Spielberg,none,none,['Steven Spielberg' 'Tony Kushner'],Steven Spielberg,Tony Kushner,none,151,273,29,40000000,$,17348945,161579,45631458,The Fabelmans,7.8,8.2,4077.0,390.0,"Kristie Macosko Krieger,Steven Spielberg,Tony Kushner"
86497,6.1,14A,2022-10-07,2022,10,4,['Comedy' 'Drama' 'History'],Comedy,Drama,History,['1930s' 'fascism' 'dadaism' 'war wound' 'year 1933' 'trailer'],1930s,fascism,dadaism,['Christian Bale' 'Margot Robbie' 'John David Washington'],Christian Bale,Margot Robbie,John David Washington,['David O. Russell'],David O. Russell,none,none,['David O. Russell'],David O. Russell,none,none,134,11,2,80000000,$,14947969,6444896,31245810,Amsterdam,6.6,5.0,3498.0,257.0,"Arnon Milchan,Matthew Budman,Anthony Katagas,David O. Russell,Christian Bale"
86013,7.4,PG,2022-10-28,2022,10,4,['Drama' 'Music'],Drama,Music,none,"['orchestra' 'lesbian character' 'classical music' 'lgbt'
 'wife wife relationship' 'trailer']",orchestra,lesbian character,classical music,['Cate Blanchett' 'Noémie Merlant' 'Nina Hoss'],Cate Blanchett,Noémie Merlant,Nina Hoss,['Todd Field'],Todd Field,none,none,['Todd Field'],Todd Field,none,none,158,247,73,25000000,$,6773650,158620,29033510,Tár,7.2,8.3,2582.0,348.0,"Todd Field,Alexandra Milchan,Scott Lambert"
81195,7.0,18A,2022-09-16,2022,9,4,['Drama' 'Horror' 'Thriller'],Drama,Horror,Thriller,"['domineering mother' 'female nudity' 'prequel' 'female protagonist'
 'rural setting' 'trailer']",domineering mother,female nudity,prequel,['Mia Goth' 'David Corenswet' 'Tandi Wright'],Mia Goth,David Corenswet,Tandi Wright,['Ti West'],Ti West,none,none,['Ti West' 'Mia Goth'],Ti West,Mia Goth,none,103,49,14,unknown,unknown,unknown,unknown,unknown,Pearl,7.8,7.8,2727.0,204.0,"Jacob Jaffke,Harrison Kreiss,Kevin Turen,Ti West"
177064,5.6,PG,2022-08-11,2022,8,3,['Comedy' 'Drama' 'Romance'],Comedy,Drama,Romance,"['indian remake of american film' 'foreign language adaptation'
 'based on film' 'remake' 'remake of american film' 'trailer']",indian remake of american film,foreign language adaptation,based on film,['Aamir Khan' 'Ahmad Ibn Umar' 'Kareena Kapoor'],Aamir Khan,Ahmad Ibn Umar,Kareena Kapoor,['Advait Chandan'],Advait Chandan,none,none,['Atul Kulkarni' 'Winston Groom'],Atul Kulkarni,Winston Groom,none,159,22,5,1800000000,₹,3401324,1486924,12093536,Laal Singh Chaddha,5.8,6.6,1952.0,36.0,"Aamir Khan,Kiran Rao"
167427,7.0,14A,2022-09-09,2022,9,4,['Horror' 'Mystery' 'Thriller'],Horror,Mystery,Thriller,"['airbnb rental' 'basement' 'stranger danger' 'hidden basement'
 'awakened in middle of night' 'trailer']",airbnb rental,basement,stranger danger,['Georgina Campbell' 'Bill Skarsgård' 'Justin Long'],Georgina Campbell,Bill Skarsgård,Justin Long,['Zach Cregger'],Zach Cregger,none,none,['Zach Cregger'],Zach Cregger,none,none,102,21,5,4500000,$,40842944,10543948,45352337,Barbarian,7.2,7.5,7327.0,207.0,"Arnon Milchan,Roy Lee,Raphael Margules,J.D. Lifshitz"
96297,6.4,14A,2022-08-12,2022,8,4,['Action' 'Thriller'],Action,Thriller,none,"['adrenaline junkie' 'friendship' 'survival thriller'
 'father daughter relationship' 'free climbing' 'trailer']",adrenaline junkie,friendship,survival thriller,['Grace Caroline Currey' 'Virginia Gardner' 'Mason Gooding'],Grace Caroline Currey,Virginia Gardner,Mason Gooding,['Scott Mann'],Scott Mann,none,none,['Jonathan Frank' 'Scott Mann'],Jonathan Frank,Scott Mann,none,107,3,0,3000000,$,7240521,2512145,17363261,Fall,7.2,6.5,2231.0,148.0,"David Haring,James Harris,Mark Lane,Scott Mann,Christian Mercuri"
87280,6.1,R,2022-08-12,2022,8,4,['Action' 'Comedy' 'Fantasy'],Action,Comedy,Fantasy,['father' 'vampire' 'vampirism' 'urban setting' 'california' 'trailer'],father,vampire,vampirism,['Jamie Foxx' 'Dave Franco' 'Natasha Liu Bordizzo'],Jamie Foxx,Dave Franco,Natasha Liu Bordizzo,['J.J. Perry'],J.J. Perry,none,none,['Tyler Tice' 'Shay Hatten'],Tyler Tice,Shay Hatten,none,113,2,2,unknown,unknown,unknown,unknown,unknown,Day Shift,8.2,5.7,3188.0,137.0,"Shaun Redick,Yvette Yates Redick,Jason Spitz,Chad Stahelski"
395095,7.3,14A,2022-08-05,2022,8,4,['Action' 'Comedy' 'Thriller'],Action,Comedy,Thriller,['bullet train' 'assassin' 'fight on a train' 'train' 'japan' 'trailer'],bullet train,assassin,fight on a train,['Brad Pitt' 'Joey King' 'Aaron Taylor-Johnson'],Brad Pitt,Joey King,Aaron Taylor-Johnson,['David Leitch'],David Leitch,none,none,['Zak Olkewicz' 'Kôtarô Isaka'],Zak Olkewicz,Kôtarô Isaka,none,127,13,2,85900000,$,103368602,30030156,239268602,Bullet Train,7.8,5.6,16305.0,340.0,"Kelly McCormick,David Leitch,Antoine Fuqua"
250682,6.8,14A,2022-07-22,2022,7,4,['Horror' 'Mystery' 'Sci-Fi'],Horror,Mystery,Sci-Fi,"['horse' 'unidentified flying object' 'cloud' 'alien'
 'brother sister relationship' 'trailer']",horse,unidentified flying object,cloud,['Daniel Kaluuya' 'Keke Palmer' 'Brandon Perea'],Daniel Kaluuya,Keke Palmer,Brandon Perea,['Jordan Peele'],Jordan Peele,none,none,['Jordan Peele'],Jordan Peele,none,none,130,146,31,68000000,$,123277080,44366910,171235592,Nope,7.0,7.5,17588.0,469.0,"Jordan Peele,Ian Cooper"
228725,6.5,14A,2022-07-22,2022,7,4,['Action' 'Thriller'],Action,Thriller,none,['daughter' 'gun' 'handgun' 'gunfight' 'helicopter' 'trailer'],daughter,gun,handgun,['Ryan Gosling' 'Chris Evans' 'Ana de Armas'],Ryan Gosling,Chris Evans,Ana de Armas,['Anthony Russo' 'Joe Russo'],Anthony Russo,Joe Russo,none,['Joe Russo' 'Christopher Markus' 'Stephen McFeely'],Joe Russo,Christopher Markus,Stephen McFeely,122,5,0,unknown,unknown,unknown,unknown,unknown,The Gray Man,7.2,5.5,5608.0,272.0,"Joe Roth,Jeff Kirschenbaum,Joe Russo,Anthony Russo,Mike Larocca,Chris Castaldi"
218325,7.1,18A,2022-08-05,2022,8,4,['Action' 'Adventure' 'Drama'],Action,Adventure,Drama,['comanche' 'predator' 'warrior' 'hunting' 'year 1719' 'trailer'],comanche,predator,warrior,['Amber Midthunder' 'Dakota Beavers' 'Dane DiLiegro'],Amber Midthunder,Dakota Beavers,Dane DiLiegro,['Dan Trachtenberg'],Dan Trachtenberg,none,none,['Patrick Aison' 'Dan Trachtenberg' 'Jim Thomas'],Patrick Aison,Dan Trachtenberg,Jim Thomas,100,35,9,unknown,unknown,unknown,unknown,unknown,Prey,7.4,7.7,9092.0,282.0,"John Davis,John Fox,Jhane Myers"
384865,6.2,PG,2022-07-08,2022,7,4,['Action' 'Adventure' 'Comedy'],Action,Adventure,Comedy,"['superhero' 'superheroine' 'superhero action' 'marvel comics'
 'based on comic' 'trailer']",superhero,superheroine,superhero action,['Chris Hemsworth' 'Natalie Portman' 'Christian Bale'],Chris Hemsworth,Natalie Portman,Christian Bale,['Taika Waititi'],Taika Waititi,none,none,['Taika Waititi' 'Jennifer Kaytin Robinson' 'Stan Lee'],Taika Waititi,Jennifer Kaytin Robinson,Stan Lee,118,18,1,250000000,$,343256830,144165107,760928081,Thor: Love and Thunder,6.8,6.4,41199.0,446.0,Kevin Feige
138652,7.3,R,2022-06-08,2022,6,2,['Comedy' 'Drama' 'Sport'],Comedy,Drama,Sport,['girl' 'dramedy' 'f word' 'basketball' 'career' 'trailer'],girl,dramedy,f word,['Adam Sandler' 'Queen Latifah' 'Juancho Hernangomez'],Adam Sandler,Queen Latifah,Juancho Hernangomez,['Jeremiah Zagar'],Jeremiah Zagar,none,none,['Taylor Materne' 'Will Fetters'],Taylor Materne,Will Fetters,none,117,7,0,unknown,unknown,unknown,unknown,unknown,Hustle,8.4,7.2,2343.0,170.0,"Adam Sandler,LeBron James,Maverick Carter,Jeff Kirschenbaum,Joe Roth,Zack Roth"
120140,6.1,PG,2022-06-17,2022,6,4,['Animation' 'Action' 'Adventure'],Animation,Action,Adventure,"['spin off' 'buzz lightyear character' 'cg animation' 'space adventure'
 'pixar' 'trailer']",spin off,buzz lightyear character,cg animation,['Chris Evans' 'Keke Palmer' 'Peter Sohn'],Chris Evans,Keke Palmer,Peter Sohn,['Angus MacLane'],Angus MacLane,none,none,['Angus MacLane' 'Matthew Aldrich' 'Jason Headley'],Angus MacLane,Matthew Aldrich,Jason Headley,105,22,2,200000000,$,118307188,50577961,226425420,Lightyear,6.6,6.7,11819.0,319.0,Galyn Susman
111362,7.2,14A,2022-07-15,2022,7,4,['Drama' 'Mystery' 'Romance'],Drama,Mystery,Romance,"['feral child' 'feral girl' 'domestic abuse' 'abandoned girl' 'marsh'
 'trailer']",feral child,feral girl,domestic abuse,['Daisy Edgar-Jones' 'Taylor John Smith' 'Harris Dickinson'],Daisy Edgar-Jones,Taylor John Smith,Harris Dickinson,['Olivia Newman'],Olivia Newman,none,none,['Delia Owens' 'Lucy Alibar'],Delia Owens,Lucy Alibar,none,125,12,2,24000000,$,90230760,17253227,144353965,Where the Crawdads Sing,9.0,5.2,12038.0,219.0,"Aislinn Dunster,Elizabeth Gabler,Reese Witherspoon,Erin Siminoff,Lauren Levy Neustadter"
80621,6.5,PG,2022-07-01,2022,7,4,['Animation' 'Adventure' 'Comedy'],Animation,Adventure,Comedy,"['sequel to spin off' 'despicable me&apos;s minion character'
 'supervillainess' 'supervillain' 'chinese zodiac' 'trailer']",sequel to spin off,despicable me&apos;s minion character,supervillainess,['Steve Carell' 'Pierre Coffin' 'Alan Arkin'],Steve Carell,Pierre Coffin,Alan Arkin,['Kyle Balda' 'Brad Ableson' 'Jonathan del Val'],Kyle Balda,Brad Ableson,Jonathan del Val,['Matthew Fogel' 'Brian Lynch'],Matthew Fogel,Brian Lynch,none,87,17,1,80000000,$,369695210,107010140,939628210,Minions: The Rise of Gru,8.6,6.1,13839.0,183.0,"Christopher Meledandri,Janet Healy,Chris Renaud"
643528,8.3,PG,2022-05-25,2022,5,2,['Action' 'Drama'],Action,Drama,none,"['fighter jet' 'aircraft carrier' 'dogfight' 'sequel' 'naval aviation'
 'trailer']",fighter jet,aircraft carrier,dogfight,['Tom Cruise' 'Jennifer Connelly' 'Miles Teller'],Tom Cruise,Jennifer Connelly,Miles Teller,['Joseph Kosinski'],Joseph Kosinski,none,none,['Jim Cash' 'Jack Epps Jr.' 'Peter Craig'],Jim Cash,Jack Epps Jr.,Peter Craig,130,216,94,170000000,$,718732821,126707459,1495696292,Top Gun: Maverick,9.6,8.2,90611.0,476.0,"Jerry Bruckheimer,Tom Cruise,David Ellison,Christopher McQuarrie"
460939,6.9,PG,2022-05-06,2022,5,4,['Action' 'Adventure' 'Fantasy'],Action,Adventure,Fantasy,"['doctor strange character' 'sequel' 'marvel comics' 'second part'
 'scarlet witch character' 'trailer']",doctor strange character,sequel,marvel comics,['Benedict Cumberbatch' 'Elizabeth Olsen' 'Chiwetel Ejiofor'],Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,['Sam Raimi'],Sam Raimi,none,none,['Michael Waldron' 'Stan Lee' 'Steve Ditko'],Michael Waldron,Stan Lee,Steve Ditko,126,20,9,200000000,$,411331607,187420998,955775804,Doctor Strange in the Multiverse of Madness,7.8,6.5,44326.0,460.0,Kevin Feige
220072,7.3,PG,2022-06-24,2022,6,4,['Biography' 'Drama' 'Music'],Biography,Drama,Music,"['reference to elvis presley' 'based on true story' 'singing' 'singer'
 'career' 'trailer']",reference to elvis presley,based on true story,singing,['Tom Hanks' 'Austin Butler' 'Olivia DeJonge'],Tom Hanks,Austin Butler,Olivia DeJonge,['Baz Luhrmann'],Baz Luhrmann,none,none,['Baz Luhrmann' 'Sam Bromell' 'Craig Pearce'],Baz Luhrmann,Sam Bromell,Craig Pearce,159,223,85,85000000,$,151040048,31211579,288670284,Elvis,8.8,6.8,21054.0,398.0,"Gail Berman,Baz Luhrmann,Catherine Martin,Patrick McCormick,Schuyler Weiss,Andrew Mittman"
195331,5.6,PG,2022-06-10,2022,6,4,['Action' 'Adventure' 'Sci-Fi'],Action,Adventure,Sci-Fi,"['tyrannosaurus rex' 'velociraptor' 'dinosaur' 'locust' 'jurassic park'
 'trailer']",tyrannosaurus rex,velociraptor,dinosaur,['Chris Pratt' 'Bryce Dallas Howard' 'Laura Dern'],Chris Pratt,Bryce Dallas Howard,Laura Dern,['Colin Trevorrow'],Colin Trevorrow,none,none,['Emily Carmichael' 'Colin Trevorrow' 'Derek Connolly'],Emily Carmichael,Colin Trevorrow,Derek Connolly,147,18,2,165000000,$,376851080,145075625,1001978080,Jurassic World: Dominion,7.4,4.8,30166.0,403.0,"Frank Marshall,Patrick Crowley"
160812,7.3,14A,2022-10-07,2022,10,4,['Comedy' 'Drama'],Comedy,Drama,none,"['dark comedy' 'yacht' 'vomiting' 'male model' 'stranded on an island'
 'trailer']",dark comedy,yacht,vomiting,['Thobias Thorwid' 'Harris Dickinson' 'Charlbi Dean'],Thobias Thorwid,Harris Dickinson,Charlbi Dean,['Ruben Östlund'],Ruben Östlund,none,none,['Ruben Östlund'],Ruben Östlund,none,none,147,72,22,10000000,€,4608096,214602,26214659,Triangle of Sadness,7.0,7.2,2289.0,276.0,"Philippe Bober,Erik Hemmendorff"
240565,7.0,14A,2022-04-22,2022,4,4,['Action' 'Adventure' 'Drama'],Action,Adventure,Drama,['viking' 'viking age' 'incestuous kiss' 'revenge' 'sword' 'trailer'],viking,viking age,incestuous kiss,['Alexander Skarsgård' 'Nicole Kidman' 'Claes Bang'],Alexander Skarsgård,Nicole Kidman,Claes Bang,['Robert Eggers'],Robert Eggers,none,none,['Sjón' 'Robert Eggers'],Sjón,Robert Eggers,none,137,58,5,70000000,$,34233110,12290800,69633110,The Northman,7.0,7.7,9319.0,383.0,"Robert Eggers,Mark Huffam,Lars Knudsen,Arnon Milchan,Alexander Skarsgård"
