Name,Estimated Budget,Gross Revenue US&Canada USD,Opening Weekend Revenue US&Canada USD,Gross Revenue Worldwide USD
"Love, Rosie",0.0,26657.82,19431.99,33368774.35
"Love, Simon",19707659.26,47328918.67,13628708.88,77345617.4
"Love, Wedding, Marriage",17109130.64,2746.02,1964.7,735440.26
Lovelace,13439163.79,479216.39,248000.95,2130890.96
Lovely Molly,1384233.87,25558.49,17379.06,883520.49
Lovewrecked,0.0,0.0,0.0,5794822.64
Loving,11068864.79,9533944.08,196306.32,15935801.59
Loving Annabelle,1604706.44,0.0,0.0,0.0
Loving Pablo,16904534.55,25523.74,19202.22,20328986.11
Loving Vincent,5970261.48,8042083.12,27678.13,50374278.28
Luca,0.0,0.0,0.0,52780274.68
Luce,0.0,2262962.65,149678.04,2552883.58
Luck,0.0,0.0,0.0,0.0
Luck by Chance,0.0,538510.68,328896.0,6813256.22
Luckiest Girl Alive,0.0,0.0,0.0,0.0
Lucky,0.0,1141424.44,51694.11,3257907.21
Lucky Number Slevin,44626886.07,37181577.71,11622693.98,93070000.64
Lucky You,88258854.15,9241424.15,4349468.54,13578522.01
Lucy,52190927.35,165267268.65,57278681.62,612015049.0
Lucy in the Sky,24085888.53,360135.81,60842.76,542165.47
Lust Stories,0.0,0.0,0.0,0.0
"Lust, Caution",24070596.59,7389644.27,102569.63,107662828.01
Luther,52605181.59,10155128.7,1592965.56,51961090.76
Lux Æterna,0.0,50027.0,8945.0,323829.0
Luz,0.0,0.0,0.0,0.0
Lying and Stealing,0.0,0.0,0.0,660754.27
"Lyle, Lyle, Crocodile",51500000.0,48295094.23,11743217.46,114329057.55
Lymelife,2268884.59,637264.64,41986.47,817408.03
M.F.A.,0.0,0.0,0.0,0.0
M3GAN,12000000.0,95043350.0,30429860.0,179973454.0
MFKZ,0.0,265964.14,7064.62,535264.66
MK Ultra,0.0,0.0,0.0,0.0
MSG 2 the Messenger,31669252.03,0.0,0.0,0.0
MSG: The Messenger of God,696723544.76,0.0,0.0,16499.68
Ma,0.0,0.0,0.0,0.0
Ma Rainey's Black Bottom,0.0,0.0,0.0,0.0
Ma mère,0.0,125579.09,18120.73,2647885.32
Mac &amp; Devin Go to High School,0.0,0.0,0.0,0.0
MacGruber,14685337.13,12520131.03,5938008.73,13690985.61
Macbeth,19001551.22,1407010.4,88462.36,20676306.14
Machete,15419603.99,39053665.71,16765021.71,66806030.52
Machete Kills,26878327.59,10762298.74,5156853.08,23568511.51
Machine Gun Preacher,42772826.61,768043.13,64344.59,4760173.62
Machuca,2630259.08,46776.53,8127.5,5589651.25
Mad Max: Fury Road,190015512.21,195437655.52,57546993.4,481902703.27
Mad Money,34275283.17,32201383.93,12053140.14,41149289.36
Madagascar,127682479.59,329583415.46,80396710.13,922827412.73
Madagascar 3: Europe's Most Wanted,200713911.26,299536418.72,83492471.71,1033913726.24
Madagascar: Escape 2 Africa,233695112.49,280451194.73,98318009.43,940857074.41
Madame,4637096.3,105469.6,0.0,6239155.1
Madame Bovary,0.0,56035.57,26400.76,834208.64
Made You Look: A True Story About Fake Art,0.0,0.0,0.0,0.0
Made in Dagenham,10573442.74,1608586.31,55162.53,18546803.95
Made in Italy,0.0,110735.86,37150.53,3185589.87
Made of Honor,62318696.66,71686340.32,22990691.47,165779685.85
Madea Goes to Jail,0.0,136901979.05,62062988.83,136901979.05
Madea's Big Happy Family,35644022.17,76057623.7,35741939.15,77221044.59
Madea's Family Reunion,9917085.79,104655006.38,49636106.93,104739200.79
Madea's Witness Protection,27684677.41,90879441.3,35146493.91,92604196.7
Madhouse,5260518.16,0.0,0.0,2537076.01
Maggie,0.0,237027.88,166168.57,2106847.66
Maggie's Plan,0.0,4122211.28,77860.85,7236443.77
Magic Camp,0.0,0.0,0.0,0.0
Magic Magic,0.0,0.0,0.0,0.0
Magic Mike,9689637.1,157500362.58,54161153.98,231557695.51
Magic Mike XXL,18748197.2,83623365.59,16287096.02,155322552.2
Magic in the Moonlight,21920189.49,13751429.94,537690.51,66581741.82
Magicians,0.0,0.0,0.0,3293162.51
Maid in Manhattan,102316201.44,174888571.55,34808728.87,288172080.11
Main Hoon Shahid Afridi,120952474.14,0.0,0.0,0.0
Main Prem Ki Diwani Hoon,541833370.4,2225540.83,1215315.99,11361057.36
Mainstream,0.0,37869.89,20947.47,52660.95
Major Movie Star,46739022.5,0.0,0.0,161983.43
Make It Happen,0.0,0.0,0.0,15819540.39
Malcolm &amp; Marie,0.0,0.0,0.0,0.0
Maleficent,234859173.09,314985787.51,90592095.75,991436711.82
Maleficent: Mistress of Evil,208219129.85,128228774.15,41586102.0,553446547.31
Malevolent,0.0,0.0,0.0,0.0
Malibu's Most Wanted,27091668.52,62188385.06,22789798.73,62532093.45
Malicious,4057459.26,0.0,0.0,1396221.58
Malignant,42436000.0,14207351.07,5765588.36,37016701.07
Mama,20158745.69,96262284.32,38170329.62,196787229.5
Mama's Boy,24070596.59,0.0,0.0,1104270.71
Mambo Italiano,9030556.17,11293660.51,734456.94,17407766.06
Mamma Mia!,81014305.66,224611638.97,43235527.69,1081976952.86
Mamma Mia! Here We Go Again,86945555.57,139848952.6,40519156.11,466335203.49
Mammoth,15125897.25,14490.61,6853.54,3076525.82
Man About Town,0.0,0.0,0.0,1925874.92
Man Down,0.0,0.0,0.0,205493.47
Man Up,0.0,0.0,0.0,3224506.25
Man of God,0.0,948177.83,16368.76,1688380.12
Man of Steel,302381185.35,391140838.77,156726670.74,900619538.18
Man of Tai Chi,33597909.48,134585.16,82051.47,7344348.46
Man of the House,68097322.45,33537430.79,15181022.92,36734460.48
Man of the Year,33056952.65,61696488.18,20329001.11,70200524.78
Man on Fire,122745423.72,136618767.31,39894875.43,229419704.94
Man on Wire,1557967.42,4615076.52,80067.06,8192679.16
Man on a Ledge,58137822.57,25774434.67,11076545.31,65939407.58
Man with the Screaming Brain,3404866.12,0.0,0.0,0.0
Man-Thing,8512165.31,0.0,0.0,1912063.86
Management,0.0,1413754.09,571758.92,3882285.39
Manchester by the Sea,10746470.67,56950767.28,306272.03,94315979.52
Mandela: Long Walk to Freedom,47037073.28,11185530.26,113269.3,37610558.88
Manderlay,24174549.47,133433.3,25735.68,1149002.72
Mandy,6955644.45,1430189.47,261674.82,1917188.92
Mangal Pandey: The Rising,578827240.82,1624305.0,904022.6,13861339.37
Manglehorn,5067080.33,181276.07,14222.03,582253.13
Manhattan Night,0.0,0.0,0.0,227103.59
Maniac,8063498.28,41770.26,7486.96,3536213.57
Manifesto,0.0,192363.02,11496.34,497190.24
Mank,0.0,0.0,0.0,0.0
Manyeo,6376007.41,0.0,0.0,28221029.56
Mao's Last Dancer,0.0,7287309.4,301999.13,36173176.38
Maps to the Stars,19571597.76,457637.45,187133.18,5885745.72
Maquia: When the Promised Flower Blooms,0.0,236767.82,82855.64,5035647.77
Mara,5796370.37,0.0,0.0,767171.64
Maradona by Kusturica,0.0,0.0,0.0,1065905.22
Marakkar: Lion of the Arabian Sea,1060900000.0,0.0,0.0,1883479.42
Marauders,18448107.98,0.0,0.0,1987481.09
Marcel the Shell with Shoes On,0.0,6523713.06,164185.09,7116485.27
Marci X,36122224.69,2977948.71,1576644.8,3026511.43
Mard Ko Dard Nahin Hota,0.0,0.0,0.0,182157.97
Mardaani,0.0,0.0,0.0,6748481.32
Mardi Gras: Spring Break,0.0,0.0,0.0,0.0
Margaret,19379274.19,64359.95,10416.36,781903.88
Margin Call,4990163.1,7633579.39,801143.6,27808095.94
Margot at the Wedding,15579674.17,3052712.52,126249.89,4518348.55
Maria Full of Grace,5260518.16,11449735.21,243853.07,22084759.94
Marie Antoinette,66113905.29,26383532.4,8860998.8,100686831.6
Marjorie Prime,0.0,215655.4,24678.67,255357.64
Mark Felt: The Man Who Brought Down the White House,0.0,918161.74,40856.89,5220551.87
Marley,0.0,1956586.89,362674.81,5319498.64
Marley &amp; Me,93478045.0,223028879.62,56643934.33,398439405.91
Marlowe,0.0,4350243.0,1814094.0,6276005.0
Marmaduke,0.0,0.0,0.0,2690218.89
Marmaduke,0.0,0.0,0.0,3835608.87
Marmaduke,51500000.0,34654131.64,11947650.83,86274699.32
Marmaduke,73426685.67,49408505.46,17034493.24,123007091.81
Marriage Story,20934463.87,0.0,0.0,375566.53
Married Life,18695609.0,2349399.28,87014.04,4499900.66
Marrowbone,9552418.37,1644.21,745.09,14680790.6
Marry Me,23690000.0,23111325.4,8188479.4,51992010.4
Mars Needs Moms,213864133.03,30500957.62,9858406.54,55937843.54
Marshall,14328627.56,12002206.51,3583118.1,12080007.38
Martha Marcy May Marlene,0.0,4263916.15,196257.41,6812911.43
Martian Child,43327073.86,12035795.75,5857178.5,15101959.7
Martyrs,1229873.87,0.0,0.0,488348.48
Martyrs,1557967.42,0.0,0.0,618625.24
Martyrs,4169272.4,0.0,0.0,1413294.79
Martyrs,5281509.54,0.0,0.0,1790319.56
Mary,0.0,0.0,0.0,798580.01
Mary Magdalene,0.0,144609.01,54075.5,13575226.93
Mary Poppins Returns,150705629.66,199346959.03,27269744.32,405219780.19
Mary Queen of Scots,28981851.86,19091503.93,225799.93,54152948.41
Mary Shelley,0.0,126244.95,14572.08,2430534.02
Mary and Max,12463739.33,0.0,0.0,2632555.02
Masked and Anonymous,0.0,963684.97,55597.52,986328.18
Maskeli Besler: Irak,0.0,0.0,0.0,12383813.25
Masking Threshold,0.0,0.0,0.0,0.0
Mass,0.0,154015.1,14306.24,271971.26
Master,0.0,0.0,0.0,0.0
Master Gardener,0.0,667114.0,264866.0,1454379.0
Master Z: The Ip Man Legacy,0.0,209454.0,92663.0,21832649.0
Master and Commander: The Far Side of the World,270916685.2,169644271.56,45344210.6,382213837.97
Masterminds,30746846.64,21360476.35,8044857.08,36496136.76
Match Point,24792714.48,38265949.89,658813.5,141547649.8
Matchstick Men,111978896.55,66657172.04,23637132.2,118418896.81
Material Girls,0.0,18924507.06,7608257.65,27974904.01
Matriarch,52167.33,0.0,0.0,6416.58
Matthias &amp; Maxime,0.0,421772.05,73144.57,2100964.79
Maudie,5961927.0,7368494.33,54830.88,11622823.86
Mausam,0.0,1038404.47,654458.47,2100631.97
Max,25335401.63,54035667.62,15397912.1,55682468.72
Max,36122224.69,77041941.38,21953740.81,79389885.99
Max,13934470.9,683902.56,38201.99,837034.8
Max,19867223.58,975081.53,54466.9,1193411.48
Max Cloud,0.0,0.0,0.0,0.0
Max Manus,77898370.83,0.0,0.0,23968210.08
Max Payne,54528859.58,63392748.5,27482309.98,135647440.0
Max Steel,12298738.65,4696475.05,2683850.43,7714264.52
Maximum Conviction,10751331.03,0.0,0.0,0.0
Maximum Ride,0.0,5187.61,3027.95,5187.61
May,903055.62,271416.98,63194.03,477443.7
Mayhem,0.0,0.0,0.0,0.0
Maze Runner: The Death Cure,71874992.61,67275506.64,28016189.31,334074194.72
Maze Runner: The Scorch Trials,77272974.96,103491558.56,38404047.84,395607300.28
"McFarland, USA",21535091.38,56348986.14,13960817.18,57904135.16
McQueen,0.0,1457526.31,114620.91,3175536.87
Me Before You,24597477.31,69174347.8,23027259.22,256361150.12
Me Time,82400000.0,0.0,0.0,0.0
Me and Earl and the Dying Girl,10134160.65,8561359.19,248915.25,11495620.53
Me and Orson Welles,37814743.12,1799986.31,96258.18,3533669.76
Me and You and Everyone We Know,1361946.45,6614180.57,52436.64,13641320.33
"Me, Myself and Mum",0.0,0.0,0.0,32608195.97
Meadowland,0.0,0.0,0.0,0.0
Mean Creek,876753.03,1059031.73,51149.77,1407974.18
Mean Dreams,0.0,0.0,0.0,43160.21
Mean Girls,29809602.9,150903320.36,42842001.82,228177214.38
Meander,0.0,0.0,0.0,716108.56
Mechanic: Resurrection,49194954.62,26095959.32,9170585.22,154631592.2
Medicus,48380989.66,0.0,0.0,76985224.38
Medieval,0.0,1415554.75,846650.73,4551259.97
Meek's Cutoff,2851521.77,1394069.07,28549.44,1718408.29
Meet Cute,0.0,0.0,0.0,0.0
Meet Dave,93478045.0,18389085.14,8182317.12,79985372.57
Meet the Blacks,1106886.48,11188251.1,4988294.61,11188251.1
Meet the Browns,0.0,65396286.8,31288362.06,65396286.8
Meet the Fockers,140280484.25,489686134.45,80873417.6,916483854.46
Meet the Robinsons,240705965.86,156975867.69,40316293.15,271729810.01
Meet the Spartans,46739022.5,59566821.42,28831012.77,133825651.06
Meeting Evil,0.0,726.72,250.55,726.72
Mega Shark vs. Giant Octopus,0.0,0.0,0.0,1092.09
Megamind,190909382.75,217953683.74,67577270.65,472700097.78
Megan Leavey,0.0,16008519.44,4550374.49,17326283.91
Mei Gong he xing dong,37142190.74,983913.85,104640.13,213800131.44
Melancholia,10550630.56,4321264.53,366668.63,24958725.64
Melinda and Melinda,0.0,6513985.57,126385.23,34268831.79
Memoirs of a Geisha,144706810.21,97873741.53,1161917.37,276207782.46
Memoria,0.0,55862.75,7210.94,624565.62
Memories of Matsuko,0.0,0.0,0.0,15831716.75
Memories of Murder,3059635.6,16781.01,4903.07,1316562.29
Memories of a Murderer: The Nilsen Tapes,0.0,0.0,0.0,0.0
Memory,30900000.0,7548914.29,3206696.94,14314172.65
Men,0.0,7815488.59,3391820.9,11486633.13
Men in Black 3,311452620.91,247806729.67,75569173.79,905584464.62
Men in Black II,260441240.04,360404704.61,97012038.41,828082759.94
Men in Black: International,123805969.1,90042738.59,33805600.28,285756220.75
Men with Brooms,13952209.29,7898568.91,1221504.76,7898568.91
"Men, Women &amp; Children",20876370.94,921049.83,62660.43,2225823.01
Mental,0.0,24458.03,13571.03,6155483.16
Merantau,0.0,0.0,0.0,233937.13
Mercy,0.0,0.0,0.0,0.0
Mere Brother Ki Dulhan,0.0,707422.63,574605.88,17085435.92
Mermaid Down,95668.25,0.0,0.0,131083.51
Meru,0.0,2956930.19,115629.51,2956930.19
Mesrine: Killer Instinct,0.0,859525.95,238171.15,48416225.83
Mesrine: Public Enemy No. 1,32975938.34,429043.97,115989.12,500657.5
Message Man,0.0,0.0,0.0,0.0
Message from the King,11940522.97,0.0,0.0,376284.09
Metal Lords,0.0,0.0,0.0,0.0
Metal: A Headbanger's Journey,2148701.92,0.0,0.0,8421.26
Metalhead,4703707.33,0.0,0.0,75849.3
Metallica Through the Never,24190494.83,4596149.67,2118766.15,10718824.39
Metropia,48402871.2,0.0,0.0,122981.11
Mia and the White Lion,0.0,449608.13,217016.11,39941144.99
Mia madre,8867390.57,383833.87,43194.33,9784096.34
Miami Bici,51358.17,0.0,0.0,6101.79
Miami Vice,223134430.36,104873959.11,42517546.72,270727366.38
Michael Clayton,40117660.98,78684986.18,1155244.21,149224596.41
Michael Moore in TrumpLand,0.0,183361.89,61739.67,183361.89
Michel Vaillant,41359947.27,0.0,0.0,13479174.31
Mid90s,1970765.93,8535084.66,299274.72,10784752.22
Middle Men,29370674.27,1107716.45,478214.79,1107716.45
Middle School: The Worst Years of My Life,10453927.86,24606269.68,8459609.9,28675910.0
Midnight Movie,1512589.72,0.0,0.0,0.0
Midnight Special,22137729.58,4565638.61,233690.79,8747209.76
Midnight Sun,3245967.41,11083893.62,4641725.28,31724076.42
Midnight at the Magnolia,0.0,0.0,0.0,0.0
Midnight in Paris,24237935.08,81007520.47,854035.05,216248458.62
Midnight in the Switchgrass,15913500.0,0.0,0.0,243806.49
Midsommar,10129579.29,30868610.93,7383371.56,54091040.62
Midway,112550881.0,63981576.47,20143702.76,143413301.63
Mientras Dure La Guerra,4839687.88,0.0,0.0,14799803.81
Mike and Dave Need Wedding Dates,40585837.56,56586094.38,20450551.71,94784221.61
Mile 22,57963703.72,41859947.0,15894603.96,76870024.05
Miles Ahead,0.0,3211072.76,140857.45,4272530.15
Military Wives,0.0,0.0,0.0,5343986.86
Milk,31159348.33,49607706.34,2265041.58,85048752.65
Million Dollar Arm,32619329.6,47568934.06,13720549.87,50212180.11
Million Dollar Baby,52605181.59,176213686.25,315548.67,380096365.35
Millions,0.0,11209089.96,119551.66,20058546.41
Minamata,0.0,0.0,0.0,816592.77
Minari,2121800.0,3300014.32,205241.71,16213449.32
Mindcage,0.0,0.0,0.0,473307.66
Mindhorn,0.0,0.0,0.0,974142.49
Mindhunters,45965692.65,7628166.72,3404866.12,36004465.7
Minding the Gap,0.0,13908.97,7896.97,104714.91
Mine,0.0,0.0,0.0,2200163.17
Mine 9,382454.45,247416.34,75311.84,247416.34
Mine Games,1500000.0,0.0,0.0,0.0
Mini's First Time,9917085.79,81045.73,36078.36,258369.84
Minimalism: A Documentary About the Important Things,0.0,322060.92,0.0,322060.92
Minions,93740986.02,425692727.41,146588613.32,1468749808.85
Minions: The Rise of Gru,82400000.0,380786066.3,110220444.2,967817056.3
Minor Premise,0.0,0.0,0.0,0.0
Minority Report,189750046.31,245694547.31,66369961.97,666679208.89
Minotaur,11569933.43,0.0,0.0,1475639.23
Minuscule - La vallée des fourmis perdues,26475152.67,0.0,0.0,30940634.7
Miracle,49098169.49,112887375.76,33978698.56,113005939.07
Miracle at St. Anna,70108533.75,12337726.25,5418604.44,14541528.81
Miracles from Heaven,15988360.25,75889518.14,18217375.04,91099640.04
Mirai,0.0,942251.01,73411.03,33337199.34
Mirror Mirror,117659879.01,89885457.56,25099046.2,253340437.12
MirrorMask,6809732.24,1476007.76,215270.96,1476007.76
Mirrors,54528859.58,47816261.93,17388589.63,121669019.82
Misconduct,12752014.82,0.0,0.0,2376234.79
Miss Americana,0.0,0.0,0.0,0.0
Miss Bala,16882632.15,16890312.62,7726329.85,17314354.82
Miss Bala,21386413.3,21396142.69,9787483.49,21933306.66
Miss Bala,0.0,0.0,0.0,1764210.3
Miss Bala,0.0,0.0,0.0,2234848.82
Miss Congeniality 2: Armed &amp; Fabulous,76609487.76,82530560.16,23907633.5,172615764.06
Miss Fisher and the Crypt of Tears,0.0,55764.04,55764.04,2609810.16
Miss March,9075538.35,6872179.15,3644064.61,6945250.85
Miss Meadows,3090000.0,0.0,0.0,0.0
Miss Peregrine's Home for Peculiar Children,135286125.2,107297681.48,35507860.55,364636011.89
Miss Pettigrew Lives for a Day,0.0,19184334.03,3880806.47,26056900.66
Miss Potter,48141193.17,4823113.7,15490.23,56290279.2
Miss Sloane,15988360.25,4305302.6,73542.77,11193753.56
Miss Stevens,0.0,5670.95,3014.42,170380.58
Miss You Already,0.0,1472814.04,699898.07,9594512.8
Missing Link,112550881.0,18739202.83,6691093.6,29899940.65
Mission London,2055947.2,0.0,0.0,2777384.95
Mission of Honor,11255088.1,0.0,0.0,2406057.58
Mission: Impossible - Fallout,206350785.23,255224741.49,70989926.27,917747897.23
Mission: Impossible - Ghost Protocol,206735328.59,298551339.89,18228643.79,990495164.77
Mission: Impossible - Rogue Nation,190015512.21,247073847.79,70331187.66,864845008.55
Mission: Impossible III,247927144.84,221530839.24,78912355.73,658625893.13
Mississippi Grind,7600620.49,165365.43,15751.02,535521.98
Mistaken for Strangers,0.0,181351.73,114484.71,330479.48
Mister Lonely,14800690.46,260797.51,26125.56,635142.81
Mistress America,0.0,3167471.18,118070.57,4231945.68
Mixtape,0.0,0.0,0.0,0.0
Mlyn i krzyz,0.0,445104.01,16188.09,1591405.79
Moana,184481079.81,305939787.26,69649480.05,845204873.51
Modigliani,21042072.64,359758.07,56743.46,2712687.89
Moguls,0.0,26997.61,16774.75,170018.52
Mojin: The Lost Legend,46870493.01,1575621.29,354662.69,328560189.98
Molly's Game,34778222.23,33364770.36,2724255.82,68726421.61
Moloch,0.0,0.0,0.0,575684.51
Mom and Dad,8114918.52,0.0,0.0,192395.44
Momentum,0.0,0.0,0.0,999995.9
Mommy,0.0,4558968.84,618308.53,17166712.89
Mommy Dead and Dearest,0.0,0.0,0.0,0.0
Moms' Night Out,6523865.92,13608402.01,5624985.49,13748337.63
Mon Roi,0.0,68550.0,7946.45,10138380.26
Mona Lisa Smile,117397230.25,115339964.8,20821749.76,255272129.82
Mona Lisa and the Blood Moon,0.0,0.0,0.0,127213.24
Monamour,0.0,0.0,0.0,0.0
Monday,0.0,32815.76,19909.91,32815.76
Mondongo,0.0,0.0,0.0,199058.79
Money Monster,33206594.37,50439679.21,18187567.81,114725836.76
Money Plane,5463635.0,0.0,0.0,675.31
Moneyball,71288044.34,107795353.32,27804193.63,157127712.26
Monkey Kingdom,0.0,20815973.88,5799097.35,21331981.27
Monos,2025915.86,457488.94,56098.74,2172136.34
Monsieur Lazhar,0.0,2781641.5,155297.2,12561522.33
Monster,0.0,0.0,0.0,0.0
Monster,0.0,0.0,0.0,0.0
Monster,8487200.0,36568384.89,92119.01,62029984.89
Monster,14028048.42,60441968.38,152258.68,102526113.65
Monster House,123963572.42,121750425.97,36721689.39,234475019.6
Monster Hunter,65563620.0,16568440.36,2405386.07,46054027.34
Monster Man,6809732.24,0.0,0.0,0.0
Monster Party,0.0,0.0,0.0,0.0
Monster Trucks,149256537.07,39845723.35,13075714.45,77009107.32
Monster-in-Law,73204621.63,141184988.63,40858393.47,264655693.1
Monsters,734266.86,348484.52,30116.69,7431423.81
Monsters University,268783275.87,360831823.27,110778313.53,999281985.93
Monsters of Man,1092727.0,0.0,0.0,7489.55
Monsters vs. Aliens,264703201.85,300024480.14,89728478.76,577067909.29
Monsters: Dark Continent,0.0,0.0,0.0,387636.71
Monstrous,0.0,0.0,0.0,250830.75
Monte Carlo,28515217.74,33058788.33,10627541.81,56720593.4
Mood Indigo,25534411.21,407457.98,35628.57,14024200.16
Moon,7562948.62,7578321.07,205781.78,14763037.56
Moon to,7221178.98,0.0,0.0,18877973.56
Moonage Daydream,0.0,4345492.75,1267049.35,13488654.43
Moonfall,154500000.0,19632479.8,10165066.91,69314223.89
Moonlight,4919495.46,34258052.89,494501.53,80154091.01
Moonlight Mile,39066186.01,12716705.81,613471.2,18623501.97
Moonrise Kingdom,22147741.93,62999896.98,723948.78,94493371.4
Moonshot,0.0,0.0,0.0,0.0
Moontrap: Target Earth,0.0,0.0,0.0,0.0
Moonwalkers,0.0,0.0,0.0,113597.3
Morbius,77250000.0,76081495.9,40176071.85,172484789.83
More Than Honey,0.0,110423.1,7232.62,2222924.56
More Than a Game,0.0,1437981.24,276717.7,1452671.51
More the Merrier,0.0,0.0,0.0,262107.01
Morgan,9838990.92,4815264.88,2475378.2,10834459.44
Morning Glory,58741348.54,45541773.95,13515306.39,88172197.44
Morris from America,0.0,112104.23,19275.81,112104.23
Mortal,0.0,0.0,0.0,137757.91
Mortal Engines,115927407.43,18491627.13,8763938.11,97228105.62
Mortal Kombat,58349500.0,44903686.29,24721625.43,89567576.29
Mortal Kombat Legends: Battle of the Realms,0.0,0.0,0.0,0.0
Mortal Kombat Legends: Scorpion's Revenge,0.0,0.0,0.0,0.0
Mortdecai,76006204.88,9749232.29,5321176.67,59887463.87
Morvern Callar,0.0,498385.94,25739.04,1615317.96
Most Likely to Die,0.0,0.0,0.0,0.0
Mosul,0.0,0.0,0.0,0.0
Mosul,0.0,0.0,0.0,0.0
Mosul,600000.0,0.0,0.0,0.0
Mosul,655636.2,0.0,0.0,0.0
Mother and Child,10279735.99,1630819.91,63205.69,8256053.95
Mother of Tears,5616472.54,94146.52,31161.79,5006615.09
Mother!,35821568.9,21254135.65,8996793.6,53155624.89
Mother's Day,30746846.64,39962118.1,10293040.68,59996530.92
Mother's Day,35644022.17,46327047.46,11932455.2,69552422.84
Mother's Day,13528612.52,0.0,0.0,1061435.26
Mother's Day,15683369.76,0.0,0.0,1230494.38
Mother/Android,0.0,0.0,0.0,0.0
Motherhood,6719581.9,125505.66,67304.68,976941.2
Mothering Sunday,0.0,283612.56,9601.66,2328684.77
Motherless Brooklyn,29263229.06,10442173.6,3939791.82,20909405.54
Mountain,0.0,436321.04,7244.32,2543198.85
Mouth to Mouth,0.0,3349.63,2190.5,13220.91
Movie 43,8063498.28,11880829.59,6458698.16,43600828.27
Mowgli: Legend of the Jungle,0.0,0.0,0.0,0.0
Moxie,0.0,0.0,0.0,0.0
Mozart and the Whale,19834171.59,59512.43,32412.34,139578.02
Mr. &amp; Mrs. Smith,187267636.74,317225041.88,85705379.91,829574598.88
Mr. 3000,52605181.59,38246048.43,15218728.13,38295479.76
Mr. Bean's Holiday,40117660.98,53440201.82,15870193.65,372654409.89
Mr. Brooks,32094128.78,45813242.33,16074451.92,77737971.88
Mr. Church,9838990.92,843422.9,416375.03,843422.9
Mr. Deeds,93014728.59,234943023.2,69133730.93,318611786.26
Mr. Harrigan's Phone,0.0,0.0,0.0,0.0
Mr. Holmes,13934470.9,22469519.27,3084468.61,37186292.89
Mr. Jones,0.0,0.0,0.0,3213683.31
Mr. Jones,0.0,0.0,0.0,3725539.75
Mr. Jones,0.0,0.0,0.0,101732.49
Mr. Jones,0.0,0.0,0.0,117935.84
Mr. Magorium's Wonder Emporium,104305918.54,51449383.76,15453459.41,111486435.86
Mr. Morgan's Last Love,11020114.31,0.0,0.0,3987563.86
Mr. Nice,0.0,0.0,0.0,1724055.2
Mr. Nobody,69021084.53,5319.03,2367.28,5226746.45
Mr. Peabody &amp; Sherman,189192111.66,145490599.69,42022904.3,359723408.12
Mr. Popper's Penguins,78416848.78,97271755.19,26298665.7,267133060.54
Mr. Right,9838990.92,42669.24,31200.67,747265.21
Mr. Turner,10699140.11,5164944.65,142220.28,28939588.69
Mr. Woodcock,35303541.66,41400601.31,14602828.6,54051647.93
Mr. and Mrs. Iyer,0.0,0.0,0.0,0.0
Mrs Palfrey at the Claremont,1168475.56,2681188.7,15180.83,6246946.12
Mrs. Brown's Boys D'Movie,4697183.46,0.0,0.0,40599666.85
Mrs. Harris Goes to Paris,13390000.0,10746932.45,2011662.1,31866609.68
Mrs. Henderson Presents,34048661.22,18788674.35,94219.46,47457733.93
Mrs. Serial Killer,0.0,0.0,0.0,0.0
Much Ado About Nothing,0.0,5817611.07,231075.67,7178154.39
Mud,13439163.79,29015270.21,2977972.21,43829377.38
Mudbound,0.0,0.0,0.0,102634.77
Mujhse Fraaandship Karoge,0.0,0.0,0.0,0.0
Mulan,218545400.0,0.0,0.0,76453053.23
Mulberry St,96282.39,155948.58,821609.7,155948.58
Mum &amp; Dad,155796.74,0.0,0.0,4203.4
"Mumbai, Maharashtra India",0.0,0.0,0.0,0.0
Mune: Guardian of the Moon,21535091.38,0.0,0.0,10861775.65
Munich,115699334.26,78351068.51,6863053.11,216493501.79
Munich: The Edge of War,0.0,0.0,0.0,0.0
Muppets Most Wanted,65238659.19,66782353.31,22187832.39,104881730.28
Murder 2,0.0,84119.89,0.0,12943554.92
Murder Mystery,0.0,0.0,0.0,0.0
Murder Party,0.0,0.0,0.0,0.0
Murder by Numbers,93014728.59,59428503.45,17314494.53,105505019.8
Murder on the Orient Express,65672876.31,122780269.81,34247177.51,421254582.62
Murder-Set-Pieces,3115934.83,0.0,0.0,0.0
Murderball,2979617.07,2606687.19,97525.58,2982483.97
Museum,0.0,172158.0,19190.62,883696.08
Music,16974400.0,0.0,0.0,685287.29
Music Within,0.0,247264.4,84638.64,301012.44
Music and Lyrics,64188257.56,81154159.21,21861926.78,234120927.82
Must Love Dogs,51072991.84,74728065.99,21885323.48,99135264.85
Mutant Chronicles,38949185.42,10625.34,7359.84,3320117.37
Mute,0.0,0.0,0.0,0.0
My Awkward Sexual Adventure,0.0,0.0,0.0,299102.03
My Babysitter's a Vampire,4277282.66,0.0,0.0,0.0
My Best Friend's Exorcism,0.0,0.0,0.0,0.0
My Best Friend's Girl,31159348.33,29942965.27,12877156.89,64849906.07
My Big Fat Greek Wedding,9301472.86,449146187.75,1111269.29,685972543.4
My Big Fat Greek Wedding 2,22137729.58,73410685.23,21967945.49,111466716.52
My Blind Brother,0.0,0.0,0.0,0.0
My Bloody Valentine,22688845.87,77967877.35,32129608.09,152370299.38
My Blueberry Nights,16047064.39,1391721.78,118982.56,35315851.36
